Date,Country,Confirmed,Deaths,Recovered,Active
2020-04-01,India,12000,215,900,10885
2020-04-02,India,12540,225,987,11328
2020-04-03,India,13104,235,1081,11788
2020-04-04,India,13693,246,1181,12266
2020-04-05,India,14310,257,1287,12766
2020-04-06,India,14954,269,1401,13284
2020-04-07,India,15627,281,1523,13823
2020-04-08,India,16330,293,1653,14384
2020-04-09,India,17065,307,1791,14967
2020-04-10,India,17833,320,1939,15574
2020-04-11,India,18635,335,2096,16204
2020-04-12,India,19474,350,2263,16861
2020-04-13,India,20350,366,2442,17542
2020-04-14,India,21266,382,2631,18253
2020-04-15,India,22223,400,2833,18990
2020-04-16,India,23223,418,3048,19757
2020-04-17,India,24268,436,3276,20556
2020-04-18,India,25360,456,3518,21386
2020-04-19,India,26501,477,3776,22248
2020-04-20,India,27694,498,4050,23146
2020-04-21,India,28940,520,4341,24079
2020-04-22,India,30242,544,4536,25162
2020-04-23,India,31603,568,4740,26295
2020-04-24,India,33025,594,4953,27478
2020-04-25,India,34512,621,5176,28715
2020-04-26,India,36065,649,5409,30007
2020-04-27,India,37688,678,5653,31357
2020-04-28,India,39384,708,5907,32769
2020-04-29,India,41156,740,6173,34243
2020-04-30,India,43008,774,6451,35783
2020-04-01,USA,190000,4180,12350,173470
2020-04-02,USA,194749,4284,13291,177174
2020-04-03,USA,199618,4391,14272,180955
2020-04-04,USA,204609,4501,15294,184814
2020-04-05,USA,209724,4613,16358,188753
2020-04-06,USA,214967,4729,17466,192772
2020-04-07,USA,220341,4847,18618,196876
2020-04-08,USA,225850,4968,19818,201064
2020-04-09,USA,231496,5092,21066,205338
2020-04-10,USA,237283,5220,22363,209700
2020-04-11,USA,243216,5350,23713,214153
2020-04-12,USA,249296,5484,25116,218696
2020-04-13,USA,255528,5621,26574,223333
2020-04-14,USA,261917,5762,28090,228065
2020-04-15,USA,268465,5906,29665,232894
2020-04-16,USA,275176,6053,31301,237822
2020-04-17,USA,282056,6205,33000,242851
2020-04-18,USA,289107,6360,34765,247982
2020-04-19,USA,296335,6519,36597,253219
2020-04-20,USA,303743,6682,38499,258562
2020-04-21,USA,311337,6849,40473,264015
2020-04-22,USA,319120,7020,41485,270615
2020-04-23,USA,327098,7196,42522,277380
2020-04-24,USA,335276,7376,43585,284315
2020-04-25,USA,343657,7560,44675,291422
2020-04-26,USA,352249,7749,45792,298708
2020-04-27,USA,361055,7943,46937,306175
2020-04-28,USA,370082,8141,48110,313831
2020-04-29,USA,379334,8345,49313,321676
2020-04-30,USA,388817,8553,50546,329718
2020-04-01,Brazil,25000,500,1750,22750
2020-04-02,Brazil,26375,527,1938,23910
2020-04-03,Brazil,27825,556,2142,25127
2020-04-04,Brazil,29356,587,2363,26406
2020-04-05,Brazil,30970,619,2601,27750
2020-04-06,Brazil,32674,653,2858,29163
2020-04-07,Brazil,34471,689,3136,30646
2020-04-08,Brazil,36366,727,3436,32203
2020-04-09,Brazil,38367,767,3759,33841
2020-04-10,Brazil,40477,809,4108,35560
2020-04-11,Brazil,42703,854,4483,37366
2020-04-12,Brazil,45052,901,4888,39263
2020-04-13,Brazil,47530,950,5323,41257
2020-04-14,Brazil,50144,1002,5791,43351
2020-04-15,Brazil,52902,1058,6295,45549
2020-04-16,Brazil,55811,1116,6836,47859
2020-04-17,Brazil,58881,1177,7419,50285
2020-04-18,Brazil,62120,1242,8044,52834
2020-04-19,Brazil,65536,1310,8716,55510
2020-04-20,Brazil,69141,1382,9437,58322
2020-04-21,Brazil,72943,1458,10212,61273
2020-04-22,Brazil,76955,1539,10773,64643
2020-04-23,Brazil,81188,1623,11366,68199
2020-04-24,Brazil,85653,1713,11991,71949
2020-04-25,Brazil,90364,1807,12650,75907
2020-04-26,Brazil,95334,1906,13346,80082
2020-04-27,Brazil,100578,2011,14080,84487
2020-04-28,Brazil,106110,2122,14855,89133
2020-04-29,Brazil,111946,2238,15672,94036
2020-04-30,Brazil,118103,2362,16534,99207
2020-04-01,Italy,110000,3080,10450,96470
2020-04-02,Italy,111100,3110,11082,96908
2020-04-03,Italy,112211,3141,11726,97344
2020-04-04,Italy,113333,3173,12381,97779
2020-04-05,Italy,114466,3205,13049,98212
2020-04-06,Italy,115611,3237,13728,98646
2020-04-07,Italy,116767,3269,14420,99078
2020-04-08,Italy,117934,3302,15125,99507
2020-04-09,Italy,119114,3335,15842,99937
2020-04-10,Italy,120305,3368,16572,100365
2020-04-11,Italy,121508,3402,17314,100792
2020-04-12,Italy,122723,3436,18070,101217
2020-04-13,Italy,123950,3470,18840,101640
2020-04-14,Italy,125190,3505,19623,102062
2020-04-15,Italy,126442,3540,20420,102482
2020-04-16,Italy,127706,3575,21231,102900
2020-04-17,Italy,128983,3611,22056,103316
2020-04-18,Italy,130273,3647,22895,103731
2020-04-19,Italy,131576,3684,23749,104143
2020-04-20,Italy,132891,3720,24618,104553
2020-04-21,Italy,134220,3758,25501,104961
2020-04-22,Italy,135563,3795,25756,106012
2020-04-23,Italy,136918,3833,26014,107071
2020-04-24,Italy,138287,3872,26274,108141
2020-04-25,Italy,139670,3910,26537,109223
2020-04-26,Italy,141067,3949,26802,110316
2020-04-27,Italy,142478,3989,27070,111419
2020-04-28,Italy,143902,4029,27341,112532
2020-04-29,Italy,145342,4069,27614,113659
2020-04-30,Italy,146795,4110,27891,114794
2020-04-01,Germany,90000,1800,4500,83700
2020-04-02,Germany,91080,1821,4781,84478
2020-04-03,Germany,92172,1843,5069,85260
2020-04-04,Germany,93279,1865,5363,86051
2020-04-05,Germany,94398,1887,5663,86848
2020-04-06,Germany,95531,1910,5970,87651
2020-04-07,Germany,96677,1933,6284,88460
2020-04-08,Germany,97837,1956,6603,89278
2020-04-09,Germany,99011,1980,6930,90101
2020-04-10,Germany,100199,2003,7264,90932
2020-04-11,Germany,101402,2028,7605,91769
2020-04-12,Germany,102619,2052,7952,92615
2020-04-13,Germany,103850,2077,8308,93465
2020-04-14,Germany,105096,2101,8670,94325
2020-04-15,Germany,106357,2127,9040,95190
2020-04-16,Germany,107634,2152,9417,96065
2020-04-17,Germany,108925,2178,9803,96944
2020-04-18,Germany,110232,2204,10196,97832
2020-04-19,Germany,111555,2231,10597,98727
2020-04-20,Germany,112894,2257,11007,99630
2020-04-21,Germany,114249,2284,11424,100541
