Order_ID,Date,Product,Category,Quantity,Price,Sales,Region
ORD10001,2025-01-01 00:00:00.000000000,Tablet,Electronics,1,26146.04,26146.04,West
ORD10002,2025-01-02 12:33:08.284518828,Blender,Home Appliances,1,4300.73,4300.73,West
ORD10003,2025-01-04 01:06:16.569037656,Backpack,Fashion,6,2619.13,15714.78,West
ORD10004,2025-01-05 13:39:24.853556485,Monitor,Electronics,7,14683.85,102786.95,South
ORD10005,2025-01-07 02:12:33.138075313,Smartphone,Electronics,7,38813.34,271693.38,North
ORD10006,2025-01-08 14:45:41.422594142,Smartphone,Electronics,1,41670.54,41670.54,West
ORD10007,2025-01-10 03:18:49.707112970,Laptop,Electronics,5,80007.67,400038.35,South
ORD10008,2025-01-11 15:51:57.991631799,T-Shirt,Fashion,6,1459.28,8755.68,West
ORD10009,2025-01-13 04:25:06.276150627,Printer,Electronics,6,12508.54,75051.24,West
ORD10010,2025-01-14 16:58:14.560669456,Backpack,Fashion,3,2906.62,8719.86,West
ORD10011,2025-01-16 05:31:22.845188284,Laptop,Electronics,8,77168.31,617346.48,South
ORD10012,2025-01-17 18:04:31.129707113,Blender,Home Appliances,7,4769.47,33386.29,South
ORD10013,2025-01-19 06:37:39.414225941,Shoes,Fashion,1,4307.44,4307.44,West
ORD10014,2025-01-20 19:10:47.698744770,Headphones,Electronics,3,3207.23,9621.69,South
ORD10015,2025-01-22 07:43:55.983263598,Headphones,Electronics,4,3761.51,15046.04,North
ORD10016,2025-01-23 20:17:04.267782426,Headphones,Electronics,2,3794.61,7589.22,East
ORD10017,2025-01-25 08:50:12.552301255,Smartwatch,Electronics,8,7753.83,62030.64,West
ORD10018,2025-01-26 21:23:20.836820083,Mouse,Electronics,8,1146.45,9171.6,East
ORD10019,2025-01-28 09:56:29.121338912,Keyboard,Electronics,8,2334.73,18677.84,East
ORD10020,2025-01-29 22:29:37.405857740,Smartwatch,Electronics,6,8922.04,53532.24,North
ORD10021,2025-01-31 11:02:45.690376569,Printer,Electronics,4,11711.3,46845.2,East
ORD10022,2025-02-01 23:35:53.974895397,Smartphone,Electronics,8,39558.53,316468.24,West
ORD10023,2025-02-03 12:09:02.259414226,Smartwatch,Electronics,4,8279.8,33119.2,North
ORD10024,2025-02-05 00:42:10.543933054,Tablet,Electronics,5,27913.33,139566.65,South
ORD10025,2025-02-06 13:15:18.828451883,Keyboard,Electronics,8,2252.03,18016.24,West
ORD10026,2025-02-08 01:48:27.112970711,Shoes,Fashion,2,4089.89,8179.78,West
ORD10027,2025-02-09 14:21:35.397489540,Headphones,Electronics,4,3473.77,13895.08,East
ORD10028,2025-02-11 02:54:43.682008368,Mouse,Electronics,4,1259.39,5037.56,East
ORD10029,2025-02-12 15:27:51.966527196,Monitor,Electronics,2,14517.39,29034.78,South
ORD10030,2025-02-14 04:01:00.251046025,Laptop,Electronics,8,80791.43,646331.44,South
ORD10031,2025-02-15 16:34:08.535564853,Printer,Electronics,2,13033.37,26066.74,West
ORD10032,2025-02-17 05:07:16.820083682,Smartphone,Electronics,4,45319.74,181278.96,West
ORD10033,2025-02-18 17:40:25.104602510,Laptop,Electronics,2,85198.52,170397.04,West
ORD10034,2025-02-20 06:13:33.389121339,Coffee Maker,Home Appliances,4,6541.75,26167.0,West
ORD10035,2025-02-21 18:46:41.673640167,Blender,Home Appliances,4,4146.45,16585.8,South
ORD10036,2025-02-23 07:19:49.958158996,Shoes,Fashion,5,4155.83,20779.15,South
ORD10037,2025-02-24 19:52:58.242677824,Smartwatch,Electronics,1,8555.45,8555.45,West
ORD10038,2025-02-26 08:26:06.527196653,Smartphone,Electronics,4,39836.75,159347.0,East
ORD10039,2025-02-27 20:59:14.811715481,Camera,Electronics,8,49600.13,396801.04,East
ORD10040,2025-03-01 09:32:23.096234310,Keyboard,Electronics,3,2146.01,6438.03,West
ORD10041,2025-03-02 22:05:31.380753138,Smartphone,Electronics,6,37968.6,227811.6,West
ORD10042,2025-03-04 10:38:39.665271967,Mouse,Electronics,7,1157.3,8101.1,South
ORD10043,2025-03-05 23:11:47.949790795,Laptop,Electronics,1,80094.62,80094.62,South
ORD10044,2025-03-07 11:44:56.234309623,Coffee Maker,Home Appliances,1,6275.75,6275.75,North
ORD10045,2025-03-09 00:18:04.518828452,Headphones,Electronics,1,3233.83,3233.83,East
ORD10046,2025-03-10 12:51:12.803347280,Camera,Electronics,5,56061.48,280307.4,North
ORD10047,2025-03-12 01:24:21.087866109,Smartwatch,Electronics,4,8659.11,34636.44,South
ORD10048,2025-03-13 13:57:29.372384937,Mouse,Electronics,5,1242.98,6214.9,East
ORD10049,2025-03-15 02:30:37.656903766,Monitor,Electronics,4,16925.35,67701.4,South
ORD10050,2025-03-16 15:03:45.941422594,Headphones,Electronics,8,3498.91,27991.28,East
ORD10051,2025-03-18 03:36:54.225941423,Blender,Home Appliances,5,4128.23,20641.15,North
ORD10052,2025-03-19 16:10:02.510460251,Shoes,Fashion,5,4231.17,21155.85,North
ORD10053,2025-03-21 04:43:10.794979080,Coffee Maker,Home Appliances,6,6612.89,39677.34,West
ORD10054,2025-03-22 17:16:19.079497908,T-Shirt,Fashion,3,1573.63,4720.89,South
ORD10055,2025-03-24 05:49:27.364016736,Monitor,Electronics,5,15781.31,78906.55,North
ORD10056,2025-03-25 18:22:35.648535565,Coffee Maker,Home Appliances,6,6015.85,36095.1,South
ORD10057,2025-03-27 06:55:43.933054393,Smartphone,Electronics,2,40183.72,80367.44,West
ORD10058,2025-03-28 19:28:52.217573222,Headphones,Electronics,3,3404.16,10212.48,North
ORD10059,2025-03-30 08:02:00.502092050,Laptop,Electronics,8,87480.59,699844.72,East
ORD10060,2025-03-31 20:35:08.786610879,Smartwatch,Electronics,5,8620.32,43101.6,North
